,symbol,type,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,reward,profit,close_reason
66,XAUUSD,SELL,1773828000.0,1773842400.0,4989.16,4907.200000000001,5009.65,4907.200000000001,20.48999999999978,81.95999999999913,81.95999999999913,TP
67,XAUUSD,BUY,1773964800.0,1773968400.0,4666.41,4648.4,4648.4,4738.450000000001,18.01000000000022,72.04000000000087,-18.01000000000022,SL
68,XAUUSD,BUY,1774344600.0,1774348200.0,4417.22,4399.63,4399.63,4487.580000000001,17.590000000000146,70.36000000000058,-17.590000000000146,SL
69,XAUUSD,SELL,1774366200.0,1774369800.0,4381.54,4390.02,4390.02,4347.619999999998,8.480000000000473,33.92000000000189,-8.480000000000473,SL
70,XAUUSD,BUY,1774375200.0,1774378800.0,4421.18,4402.47,4402.47,4496.02,18.710000000000036,74.84000000000015,-18.710000000000036,SL
71,XAUUSD,BUY,1774386000.0,1774400400.0,4407.37,4500.649999999999,4384.05,4500.649999999999,23.31999999999971,93.27999999999884,93.27999999999884,TP
72,XAUUSD,SELL,1774467000.0,1774472400.0,4550.64,4497.320000000001,4563.97,4497.320000000001,13.329999999999927,53.31999999999971,53.31999999999971,TP
73,XAUUSD,SELL,1774474200.0,1774477800.0,4530.88,4496.240000000001,4539.54,4496.240000000001,8.659999999999854,34.63999999999942,34.63999999999942,TP
74,XAUUSD,BUY,1774589400.0,1774609200.0,4437.49,4421.1,4421.1,4503.049999999997,16.389999999999418,65.55999999999767,-16.389999999999418,SL
75,XAUUSD,SELL,1774614600.0,1774620000.0,4414.91,4432.96,4432.96,4342.709999999999,18.050000000000182,72.20000000000073,-18.050000000000182,SL
76,XAUUSD,BUY,1774852200.0,1774881000.0,4495.96,4565.4800000000005,4478.58,4565.4800000000005,17.38000000000011,69.52000000000044,69.52000000000044,TP
77,XAUUSD,SELL,1774906200.0,1774926000.0,4498.97,4523.11,4523.11,4402.410000000003,24.139999999999418,96.55999999999767,-24.139999999999418,SL
78,XAUUSD,SELL,1775106000.0,1775118600.0,4689.82,4601.899999999998,4711.8,4601.899999999998,21.980000000000473,87.92000000000189,87.92000000000189,TP
79,XAUUSD,BUY,1775167200.0,1775437200.0,4665.22,4651.57,4651.57,4719.820000000002,13.650000000000546,54.60000000000218,-13.650000000000546,SL
80,XAUUSD,BUY,1775458800.0,1775536200.0,4646.69,4625.51,4625.51,4731.409999999997,21.17999999999938,84.71999999999753,-21.17999999999938,SL
81,XAUUSD,BUY,1775565000.0,1775568600.0,4670.94,4658.7,4658.7,4719.899999999999,12.239999999999782,48.95999999999913,-12.239999999999782,SL
82,XAUUSD,SELL,1775570400.0,1775592000.0,4647.91,4672.02,4672.02,4551.4699999999975,24.110000000000582,96.44000000000233,-24.110000000000582,SL
83,XAUUSD,BUY,1775592000.0,1775595600.0,4660.23,4685.549999999999,4653.9,4685.549999999999,6.329999999999927,25.31999999999971,25.31999999999971,TP
84,XAUUSD,BUY,1775593800.0,1775611800.0,4676.05,4764.650000000002,4653.9,4764.650000000002,22.150000000000546,88.60000000000218,88.60000000000218,TP
85,XAUUSD,SELL,1775655000.0,1775658600.0,4782.63,4796.14,4796.14,4728.589999999999,13.510000000000218,54.04000000000087,-13.510000000000218,SL
86,XAUUSD,SELL,1775687400.0,1775698200.0,4730.63,4725.670000000001,4731.87,4725.670000000001,1.2399999999997817,4.959999999999127,4.959999999999127,TP
87,XAUUSD,BUY,1775736000.0,1775752200.0,4729.77,4767.690000000002,4720.29,4767.690000000002,9.480000000000473,37.92000000000189,37.92000000000189,TP
88,XAUUSD,SELL,1775790000.0,1775793600.0,4753.73,4764.22,4764.22,4711.769999999997,10.490000000000691,41.960000000002765,-10.490000000000691,SL
89,XAUUSD,SELL,1775799000.0,1775802600.0,4753.03,4765.41,4765.41,4703.509999999999,12.38000000000011,49.52000000000044,-12.38000000000011,SL
90,XAUUSD,BUY,1775802600.0,1775811600.0,4766.53,4752.87,4752.87,4821.169999999999,13.659999999999854,54.63999999999942,-13.659999999999854,SL
91,XAUUSD,SELL,1775813400.0,1775831400.0,4746.36,4765.89,4765.89,4668.239999999997,19.530000000000655,78.12000000000262,-19.530000000000655,SL
92,XAUUSD,BUY,1775831400.0,1775847600.0,4768.13,4753.4,4753.4,4827.050000000002,14.730000000000473,58.92000000000189,-14.730000000000473,SL
93,XAUUSD,SELL,1775858400.0,1776042000.0,4763.58,4725.26,4773.16,4725.26,9.579999999999927,38.31999999999971,38.31999999999971,TP
94,XAUUSD,BUY,1776069000.0,1776081600.0,4729.46,4716.45,4716.45,4781.500000000001,13.010000000000218,52.04000000000087,-13.010000000000218,SL
95,XAUUSD,BUY,1776096000.0,1776101400.0,4733.34,4709.09,4709.09,4830.34,24.25,97.0,-24.25,SL
96,XAUUSD,SELL,1776103200.0,1776106800.0,4703.74,4723.53,4723.53,4624.58,19.789999999999964,79.15999999999985,-19.789999999999964,SL
97,XAUUSD,BUY,1776108600.0,1776196800.0,4733.08,4828.24,4709.29,4828.24,23.789999999999964,95.15999999999985,95.15999999999985,TP
98,XAUUSD,SELL,1776240000.0,1776247200.0,4826.21,4809.489999999999,4830.39,4809.489999999999,4.180000000000291,16.720000000001164,16.720000000001164,TP
99,XAUUSD,SELL,1776250800.0,1776254400.0,4810.02,4815.91,4815.91,4786.460000000003,5.889999999999418,23.55999999999767,-5.889999999999418,SL
100,XAUUSD,BUY,1776270600.0,1776276000.0,4828.94,4808.62,4808.62,4910.219999999998,20.31999999999971,81.27999999999884,-20.31999999999971,SL
101,XAUUSD,SELL,1776288600.0,1776292200.0,4799.79,4802.17,4802.17,4790.2699999999995,2.380000000000109,9.520000000000437,-2.380000000000109,SL
102,XAUUSD,BUY,1776306600.0,1776337200.0,4823.4,4807.5,4807.5,4886.999999999998,15.899999999999636,63.599999999998545,-15.899999999999636,SL
103,XAUUSD,SELL,1776339000.0,1776349800.0,4813.96,4822.06,4822.06,4781.559999999999,8.100000000000364,32.400000000001455,-8.100000000000364,SL
104,XAUUSD,SELL,1776358800.0,1776439800.0,4799.08,4824.0,4824.0,4699.4,24.920000000000073,99.68000000000029,-24.920000000000073,SL
105,XAUUSD,SELL,1776648600.0,1776657600.0,4779.37,4795.3,4795.3,4715.649999999999,15.930000000000291,63.720000000001164,-15.930000000000291,SL
106,XAUUSD,BUY,1776695400.0,1776758400.0,4810.49,4786.6,4786.6,4906.049999999997,23.889999999999418,95.55999999999767,-23.889999999999418,SL
107,XAUUSD,SELL,1776756600.0,1776781800.0,4789.11,4797.78,4797.78,4754.429999999999,8.670000000000073,34.68000000000029,-8.670000000000073,SL
108,XAUUSD,BUY,1776830400.0,1776879000.0,4746.35,4735.93,4735.93,4788.030000000001,10.420000000000073,41.68000000000029,-10.420000000000073,SL
109,XAUUSD,BUY,1776960000.0,1776963600.0,4727.5,4724.06,4724.06,4741.259999999998,3.4399999999996,13.7599999999984,-3.4399999999996,SL
110,XAUUSD,BUY,1777053600.0,1777064400.0,4721.96,4718.55,4718.55,4735.599999999999,3.4099999999998545,13.639999999999418,-3.4099999999998545,SL
