time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33
1779942600,1.16185,1.16196,1.16092,1.16098,852,0,0,1.1619441913178359,1.1628086721736037
1779944400,1.16099,1.16141,1.16094,1.16135,737,2,0,1.1618121488027613,1.1627228679280976
1779946200,1.16135,1.16151,1.16103,1.16125,681,2,0,1.161687226846592,1.1626362286382095
1779948000,1.16126,1.16137,1.16009,1.16011,1127,0,0,1.1613367319917938,1.1624876269536089
1779949800,1.16011,1.16011,1.15871,1.15871,1771,0,0,1.160753013771395,1.1622654136033967
1779951600,1.15871,1.15917,1.15862,1.15881,1334,0,0,1.1603212329333072,1.1620621539796674
1779953400,1.15881,1.15927,1.15879,1.15918,799,1,0,1.1600676256147946,1.1618926155102751
1779955200,1.15918,1.15949,1.1589,1.15943,1092,0,0,1.159925931033729,1.1617477557743765
1779957000,1.15943,1.1602,1.15942,1.1599,1256,1,0,1.1599201685817893,1.1616390642582366
1779958800,1.15991,1.16092,1.15985,1.16069,1531,1,0,1.1600912422302807,1.1615832369489285
1779960600,1.16069,1.16121,1.16054,1.16101,1180,2,0,1.1602954106235517,1.1615495171284032
1779962400,1.16101,1.16176,1.16101,1.16124,1549,0,0,1.1605053193738737,1.161531310238497
1779964200,1.16124,1.16138,1.161,1.16116,1260,0,0,1.1606508039574572,1.1615094684597618
1779966000,1.16116,1.16159,1.16065,1.16094,1359,1,0,1.1607150697446889,1.1614759703150699
1779967800,1.16095,1.16168,1.16089,1.16156,1061,0,0,1.160902832023647,1.1614809132377129
1779969600,1.16156,1.16191,1.16144,1.16178,987,1,0,1.1610977582406143,1.161498506576671
1779971400,1.16178,1.16184,1.16129,1.1613,993,1,0,1.1611427008538113,1.1614868297192198
1779973200,1.16129,1.16155,1.16089,1.16145,1066,0,0,1.1612109895529645,1.161484663265148
1779975000,1.16145,1.16146,1.16036,1.16036,1336,0,0,1.161021880763417,1.1614185066024925
1779976800,1.16035,1.16111,1.16033,1.16108,1036,0,0,1.1610347961493244,1.1613985944494047
1779978600,1.16108,1.16227,1.1608,1.16169,1334,0,0,1.16118039700503,1.161415735952381
1779980400,1.16169,1.16256,1.16156,1.1624,1416,0,0,1.1614514198928012,1.1614736338375349
1779982200,1.1624,1.16381,1.16237,1.16364,2611,0,0,1.161937771027734,1.1616010671412094
1779984000,1.16364,1.16431,1.16326,1.16328,1983,0,0,1.162236044132682,1.1616998278976087
1779985800,1.16329,1.16385,1.1629,1.16305,2280,0,0,1.1624169232143082,1.1617792497859847
1779987600,1.16305,1.16578,1.16268,1.16541,4630,0,0,1.1630820513889064,1.1619928233279857
1779989400,1.16541,1.16568,1.16429,1.16475,4130,0,0,1.163452706635816,1.1621550101910454
1779991200,1.16478,1.16552,1.16475,1.1653,2548,0,0,1.1638632162723013,1.162340009591572
1779993000,1.1653,1.16568,1.16477,1.1648,1743,0,0,1.164071390434012,1.1624847149097148
1779994800,1.1648,1.16611,1.16454,1.16572,1853,0,0,1.1644377481153427,1.1626750257973786
1779996600,1.16571,1.16595,1.16535,1.16567,1524,0,0,1.1647115818674887,1.1628512007504739
